Macro Phrase,Macro Text,,,
congestive,There is mild intralobular septal thickening and interstitial prominence with associated mild diffuse hazy groundglass opacification consistent with congestive changes.,,,
Contained perforation,"There are small foci of peri-intestinal air, consistent with a small contained intestinal perforation.",,,
copious,There is a large amount of stool noted throughout the colon. Correlate for history of constipation.,,,
brain moderate,"There are patchy areas of diminished attenuation seen within the periventricular and subcortical white matter compatible with moderate chronic microvascular ischemic changes.There is diffuse cerebral atrophy present, consistent with this patient's age.There is no evidence of intracranial hemorrhage. There is no evidence of acute ischemia. There is no evidence of intracranial extra-axial fluid collections. There is no mass-effect or midline shift.",,,
brain severe,"There are patchy areas of diminished attenuation seen within the periventricular and subcortical white matter compatible with extensive chronic microvascular ischemic changes.There is diffuse cerebral atrophy present, consistent with this patient's age.There is no evidence of intracranial hemorrhage. There is no evidence of acute ischemia. There is no evidence of intracranial extra-axial fluid collections. There is no mass-effect or midline shift.",,,
granulomas,There are multiple pulmonary parenchymal calcifications consistent with remote granulomatous organism exposure.,,,
COPD,There prominent interstitial markings in a background of radiolucency in flattening of the hemidiaphragms compatible with COPD.,,,
motion,"There is motion artifact, which makes evaluation suboptimal.",,,
thoracolumbar mild,The visualized thoracolumbar spine demonstrates mild degenerative changes at multiple levels.,,,
viral,There is mild perihilar interstitial prominence consistent with viral bronchiolitis.,,,
remaining,The remaining paranasal sinuses and mastoid air cells are clear.,,,
cholecystitis,"There is diffuse gallbladder wall thickening and edema, pericholecystic inflammatory changes, and gallbladder distenstion consistent with acute cholecystitis. Correlate with Murphy's sign.  Futher characterization with right upper quadrant ultrasound can be obtained if clinically warranted.  ",,,
click obstruction,"There are multiple dilated loops of small bowel with internal air-fluid levels and a transition point along the __ (series, __ , image __ ). Findings are consistent with small bowel obstruction.",,,
coronary mild,There is mild atherosclerotic calcification of the coronary arteries.,,,
coronary moderate,There is moderate atherosclerotic calcification of the coronary arteries.,,,
coronary severe,There is extensive atherosclerotic calcification of the coronary arteries.,,,
covid high,"High confidence features for COVID-19 (in the appropriate clinical setting). Although other processes can cause a similar pattern, consider viral testing for confirmation or exclusion of this possibility.",,,
covid intermediate,"Intermediate confidence features for COVID-19 in the appropriate clinical setting. However, the findings are nonspecific, and other infectious or noninfectious processes can cause the same pattern.",,,
covid low,"Low confidence features for COVID-19 associated pneumonia. In the absence of specific clinical context, the findings are less likely to be secondary to COVID-19 pneumonia.",,,
COVID PE,"There are bilateral patchy groundglass airspace opacities, which are extending to the periphery.  This is an a pattern of distribution most consistent with COVID-19 infection.No filling defect is identified within the main, segmental, or subsegmental pulmonary arteries to suggest pulmonary embolism.Impression: Findings consistent with COVID\ufffd19 infection as described above.  No evidence of acute pulmonary embolism.",,,
CPPD,"There is chondrocalcinosis, consistent with calcium pyrophosphate deposition arthropathy.",,,
cysticercosis,There are punctate cortical calcifications consistent with remote cysticercosis exposure.,,,
Degenerative,Degenerative changes of the thoracic spine are present.,,,
Delayed bladder,High density contrast material is noted within the bilateral collecting systems and layering within the urinary bladder on delayed phase imaging.,,,
demineralized,The osseous structures are demineralized.,,,
Dialysis,A dialysis catheter is noted with its tip within the right atrium.,,,
Diminished,"There is poor ventilation of the lungs, with perihilar vascular crowding and a diffuse increase in pulmonary parenchymal density.",,,
Diverticula scattered,There are scattered colonic diverticula without CT evidence of diverticulitis.,,,
drain,A surgical drain is present.,,,
Empty sella,There is a normal empty pituitary sella.,,,
endometrium,The endometrium is normal.,,,
endotracheal,"An endotracheal tube is present, lying with its tip above the carina.",,,
Esophageal varices,There are small dilated periesophageal vessels consistent with varices.,,,
eye calcifications,There is senile calcification of the eye muscle tendon insertions.,,,
eye you dee,An intrauterine device is present.,,,
falx calcifications,There is benign calcification of the falx cerebri.,,,
Fatty liver,"There is a diffuse decrease in hepatic parenchymal density, consistent with fatty infiltration.",,,
fecalith,There is a focal intraluminal appendiceal calcification.,,,
feeding tube,A feeding tube is noted coursing below the level of the diaphragm in appropriate position.,,,
fibroid,There is a single benign fibroid in the uterus.,,,
fibroid multiple,There are multiple benign fibroids in the uterus.,,,
filter,An IVC filter is present.,,,
fluid moderate,There is a moderate amount of free fluid present.,,,
fluid small,There is a small amount of free fluid present.,,,
Foley,The bladder is decompressed by a Foley catheter but is otherwise normal. There is a small amount of intraluminal air consistent with instrumentation.,,,
gallbladder,The gallbladder is normal.,,,
Gallbladder contracted,The gallbladder is contracted but otherwise normal.,,,
Gallbladder decompressed,The gallbladder is contracted but otherwise normal.,,,
Gallbladder distended,The gallbladder is distended.,,,
Gallbladder echogenic,"There is a single echogenic focus in the gallbladder, consistent with an adherent noncalcified stone or polyp.",,,
Gallbladder nonspecific,There is diffuse nonspecific submucosal edema of the gallbladder wall.,,,
left glenohumeral,The left glenohumeral joint is normal.,,,
diverticulitis mild,"There is a segment of wall thickening at the junction of the sigmoid and descending colon, consistent with mild acute diverticulitis. There is mild pericolonic inflammatory stranding.",,,
diverticulosis severe,Extensive diverticulosis is present in the sigmoid and descending colon.,,,
diverticulitis,"There is a segment of wall thickening at the junction of the sigmoid and descending colon, consistent in appearance with acute diverticulitis.",,,
cystitis,There is diffuse bladder wall thickening compatible with cystitis. Correlate with urinalysis.,,,
diverticulitis moderate,"There is a segment of wall thickening at the junction of the sigmoid and descending colon, consistent with moderate acute diverticulitis. There is moderate pericolonic inflammatory stranding.",,,
diveticulitis severe,"There is a segment of wall thickening at the junction of the sigmoid and descending colon, consistent with severe acute diverticulitis. There is marked pericolonic inflammatory stranding.",,,
fluid large,There is a large amount of free intraperitoneal fluid present.,,,
Gallbladder polyp,"There is a small focus of echogenicity in the gallbladder, consistent with an adherent noncalcified stone or polyp.",,,
gastric bypass,There has been a gastric stapling and bypass.,,,
gastric tube,A gastric feeding tube is in appropriate position.,,,
gluteal calcifications,Calcified injection granulomas are noted in the subcutaneous tissues of the bilateral gulteal regions.,,,
goiter,"There is diffuse enlargement of the thyroid gland, consistent with a goiter.",,,
granuloma,There is a pulmonary parenchymal calcification consistent with remote granulomatous organism exposure.,,,
Gynecomastia,There is nonspecific gynecomastia.,,,
hammertoes,Multiple hammertoe deformities are present.,,,
hepatic calcifications,"The liver demonstrates punctate calcifications, consistent with remote granulomatous organism exposure.",,,
hepatic cyst,There is a simple hepatic cyst.,,,
hepatic mets,"There are multiple heterogeneous hypodense liver masses, consistent in appearance with metastatic disease.",,,
hepatic polycystic,There are multiple simple hepatic cysts.,,,
hepatic single,"There is a subcentimeter hypodensity within the left hepatic lobe, which is too small to characterize.",,,
hepatic subcentimeter,There are focal liver subcentimeter hypodensities that cannot be further characterized on the current examination.,,,
hepatomegaly mild,There is diffuse mild enlargement of the liver.,,,
hepatomegaly moderate,There is diffuse moderate enlargement of the liver.,,,
hepatomegaly severe,There is diffuse marked enlargement of the liver.,,,
hiatal small,A small hiatal hernia is present.,,,
hilar adenopathy,There are multiple enlarged nonspecific hilar lymph nodes.,,,
Horseshoe kidney,There is a normal-variant horseshoe kidney.,,,
hydro left,"There is mild left-sided hydroureteronephrosis secondary to an obstructing __ calculus within the __ (series __ , image __ ).  There is associated periureteral and perinephric fat stranding.  Both.",,,
hydro right,"There is mild right-sided hydroureteronephrosis secondary to an obstructing __ calculus within the __ (series __ , image __ ).  There is associated periureteral and perinephric fat stranding.  Both.",,,
hyperostosis,Benign hyperostosis frontalis is present.,,,
hysterectomy,There has been a hysterectomy. No adnexal cysts or masses are identified.,,,
IJ,A right-sided IJ catheter is noted with its tip within the superior vena cava.,,,
IJ Introducer,A right-sided IJ introducer catheter is noted with its tip within the superior vena cava.,,,
Impression,Impression:,,,
inguinal,There is a nonobstructing inguinal hernia.,,,
inguinal adenopathy,There are multiple enlarged nonspecific inguinal lymph nodes.,,,
inguinal shotty,There are numerous prominent but non-pathologic lymph nodes in the inguinal regions. There are no nodes of pathologic dimensions.,,,
Insert benign calcs,Characteristically benign calcifications are noted within the bilateral breasts.,,,
instrumentation,Surgical instrumentation is in appropriate position and shows no evidence of complications.,,,
interphalangeal,There are interphalangeal joint degenerative changes with narrowing and subchondral sclerosis.,,,
Interstitial,There are bilateral nonspecific prominent interstitial markings.,,,
Interstitial congestive,"There are bilateral nonspecific prominent interstitial markings with diffuse ground-glass opacity, which may reflect congestive changes.",,,
interstitial mild,There is diffuse mild nonspecific prominence of the subpleural pulmonary interstitium.,,,
interstitial moderate,There is diffuse moderate nonspecific prominence of the subpleural pulmonary interstitium.,,,
interstitial severe,There is diffuse marked nonspecific prominence of the subpleural pulmonary interstitium.,,,
intracranial arteries,"Impression: No evidence of significant stenosis, aneurysmal dilatation, or dissection involving the arteries of the head.",,,
intrahepatic mild,There is mild dilation of the intrahepatic biliary ducts.,,,
intrahepatic moderate,There is moderate dilation of the intrahepatic biliary ducts.,,,
intrahepatic severe,There is extensive dilation of the intrahepatic biliary ducts.,,,
IUD,An intrauterine device is present.,,,
kidney nonspecific,Bilateral perirenal fat stranding is nonspecific.,,,
kidneys,The kidneys are normal.,,,
knee arthroplasty,There has been a knee arthroplasty with patellar resurfacing.,,,
Kyphosis,There is exaggeration of the normal thoracic kyphosis.,,,
left adenoma,"There is a focal hypodense mass in the left adrenal gland, consistent in appearance and density with a benign adrenal adenoma.",,,
left adrenal,The left adrenal gland is normal.,,,
left adrenal adenoma,"There is a focal hypodense mass in the left adrenal gland, consistent in appearance with a benign adrenal adenoma.",,,
left arthroplasty,There has been a left total hip arthroplasty.,,,
Left avascular necrosis,"There is a focus of geographic signal abnormality with serpiginous peripheral sclerosis in the subchondral left femoral head, consistent with avascular necrosis.",,,
Left corpus,"There is an irregular cystic lesion in the left ovary, consistent with a corpus luteum.",,,
left effusion,There is a left pleural effusion.,,,
gallstone,A calcified gallstone is present.,,,
hiatal large,A large hiatal hernia is present.,,,
hiatal moderate,A moderate hiatal hernia is present.,,,
left glenohumeral mild,There are mild degenerative changes in the left glenohumeral joint.,,,
left glenohumeral moderate,There are moderate degenerative changes in the left glenohumeral joint.,,,
left glenohumeral severe,There are severe degenerative changes in the left glenohumeral joint.,,,
left hepatic cyst,There is a simple left lobe hepatic cyst.,,,
left hilar adenopathy,There are multiple nonspecific enlarged left hilar lymph nodes.,,,
Left hip arthroplasty,There has been a left total hip arthroplasty.,,,
Left hip mild,There are mild degenerative changes in the left hip joint.,,,
Left hip moderate,There are moderate degenerative changes in the left hip joint.,,,
Left hip severe,There are marked degenerative changes in the left hip joint.,,,
left inguinal,There is a nonobstructing left inguinal hernia.,,,
left kidney,The left kidney is normal.,,,
left kidney cyst,There is a simple cyst in the left kidney.,,,
Left kidney infarct,"There is a focal cortical defect in the left kidney, consistent with remote infarction.",,,
Left kidney malrotation,The left kidney is malrotated.,,,
Left kidney scar,"There is a focal cortical defect in the left kidney, representing remote infection or infarction.",,,
left knee arthroplasty,There has been a left knee arthroplasty with patellar resurfacing.,,,
left mastectomy,There has been a left mastectomy.,,,
Left mastoidectomy,There has been a left mastoidectomy.,,,
left maxillary chronic,"There is diffuse mucoperiosteal thickening in the left maxillary sinus, consistent with chronic sinusitis.",,,
left nephrectomy,There has been a left nephrectomy.,,,
left ovarian cyst,There is a simple cyst in the left ovary.,,,
left ovarian polycystic,There are multiple simple left ovarian cysts.,,,
left ovary,The left ovary is normal.,,,
left ovary cyst,There is a simple cyst in the left ovary.,,,
Left parapelvic,There are small benign left parapelvic cysts.,,,
left perinephric,There is inflammatory left perinephric stranding.,,,
left polycystic,There are multiple simple left renal cysts.,,,
left renal cortical,"There is a small focal cortical defect in the left kidney, representing remote infection or infarction.",,,
left renal cyst,There is a simple cyst in the left kidney.,,,
left renal polycystic,There are multiple simple left renal cysts.,,,
Left renal scar,"There is a focal cortical defect in the left kidney, representing remote infection or infarction.",,,
left renal stent,There is a left ureteral stent with its coiled ends appropriately positioned in the left collecting system and bladder.,,,
Left ribs healed,There are healed left rib fractures.,,,
Left subcentimeter,"A subcentimeter hypodensity within the left kidney is too small to characterize, but statistically represents a renal cyst.",,,
left thalamus,"There is a focal hypodensity in the left thalamus, consistent with a remote lacunar infarction.",,,
left thyroid adenoma,"There is a focal hypodense lesion in the left thyroid lobe, consistent with a thyroid adenoma or carcinoma. Correlation with laboratory values and nuclear medicine scan is recommended if clinically warranted.",,,
Lens replacement,There is asymmetric density of the lenses consistent with intraocular lens prosthesis.,,,
ligation,There has been a tubal ligation.,,,
limbus,"There is developmental deformity of the anterior/superior vertebral body, consistent with a benign limbus vertebra.",,,
linear,Linear scarring or atelectasis is present in both lung bases.,,,
liver calcifications,"The liver demonstrates punctate calcifications, consistent with remote granulomatous organism exposure.",,,
liver cirrhosis,"There is a finely nodular contour to the liver and hypertrophy of the caudate lobe, consistent with end-stage cirrhosis.",,,
liver cyst,There is a simple hepatic cyst.,,,
liver metastases,"There are multiple heterogeneous hypodense liver masses, consistent in appearance with metastatic disease.",,,
liver polycystic,There are multiple simple hepatic cysts.,,,
Low lung volumes,"There is poor ventilation of the lungs, accounting for mild diffuse increase in pulmonary parenchymal density.",,,
lumbar mild,The lumbar spine demonstrates mild degenerative changes at multiple levels.,,,
lumbar moderate,The lumbar spine demonstrates moderate degenerative changes at multiple levels.,,,
lumbar severe,The lumbar spine demonstrates marked degenerative changes at multiple levels.,,,
macro_name,macro_text,,,
marrow prominent,"There is diffuse prominence of the hematopoietic bone marrow, disproportionate for this patient's age. This can represent the effects of chronic anemia, smoking, pharmacologic marrow stimulating factors, and infiltrating processes such as lymphoma or leukemia. Clinical correlation is recommended.",,,
maxillary chronic,"There is diffuse mucoperiosteal thickening in the maxillary sinuses, consistent with chronic sinusitis.",,,
maxillary hemorrhage,"There is high density fluid within the maxillary sinuses, consistent with hemorrhage.",,,
mediastinal,"The mediastinal structures including the esophagus, trachea, great vessels, and heart show no evidence of injury or acute pathologic processes.",,,
right ovary,The right ovary is normal.,,,
mediastinal adenopathy,There are multiple enlarged nonspecific mediastinal nodes.,,,
mediastinal calcifications,"There are multiple small calcified lymph nodes in the mediastinum, consistent with remote granulomatous organism exposure.",,,
mediastinal shotty,There are numerous prominent but non-pathologic lymph nodes in the mediastinum. There are no nodes of pathologic dimensions.,,,
mediastinum,"The mediastinal structures including the esophagus, trachea, great vessels, and heart show no evidence of injury or acute pathologic processes.",,,
mediastinum shotty,There are numerous prominent but non-pathologic lymph nodes in the mediastinum. There are no nodes of pathologic dimensions.,,,
mega,There is a normal benign mega cisterna magna.,,,
mega cisterna,There is a normal benign mega cisterna magna.,,,
mega cisterna magna,There is a normal benign mega cisterna magna.,,,
mesenteric adenitis impression,"This nonspecific mesenteric adenitis can be secondary to a variety of bacterial, viral, or other inflammatory processes.",,,
mesenteric adenopathy,There are multiple enlarged nonspecific mesenteric lymph nodes.,,,
mesenteric shotty,There are multiple nonspecific nonpathologic but prominent lymph nodes in the mesentery. There are no mesenteric lymph nodes of pathologic dimensions.,,,
mesh,The patient is post anterior abdominal wall hernia repair with mesh placement.,,,
mild head,Impression: Mild chronic microvascular ischemic changes.,,,
misty mesentery,There are multiple nonspecific nonpathologic but prominent lymph nodes in the mesentery. There are no mesenteric lymph nodes of pathologic dimensions. There is a diffuse inflammatory stranding throughout the central mesentery as well.,,,
mitral valve,There is calcification of the mitral valve annulus.,,,
Moderate head,Impression: Moderate chronic microvascular ischemic changes.,,,
MRI Head Normal,"There are no cerebral, cerebellar, or mid brain parenchymal signal abnormalities. There is no acute mass effect, midline shift, or hemorrhage. No extra-axial fluid collections are identified. There is no pathologic intracranial enhancement. There is no diffusion abnormality to suggest acute/subacute infarct. The major intracranial flow voids at the skull base are maintained. The globes and orbits are grossly within normal limits. Limited evaluation of the paranasal sinuses and bilateral mastoid complexes are within normal limits. There is no bone marrow signal abnormality. The sella is unremarkable.",,,
MRI Old head,There are scattered punctate foci of T2 and FLAIR hyperintensities in the bilateral frontal and parietal periventricular and subcortical white matter which are nonspecific and without mass effect most likely consistent with chronic small vessel ischemic changes in a patient of this stated age.,,,
mucous retention,There is a benign mucous retention cyst.,,,
Murphy's,A positive sonographic Murphy's sign was not elicited.,,,
nasogastric,A nasogastric tube lies with its tip in the gastric antrum.,,,
Neck arteries,"Impression: No evidence of significant stenosis, aneurysmal dilatation, or dissection involving the arteries of the neck.",,,
no abdomen,Impression: No evidence of acute intra-abdominal pathology.,,,
No abdomen aorta,No evidence of acute aneurysmal dilatation or dissection of the aorta or arterial branches.,,,
no abscess,There is no evidence of focal fluid collections to suggest abscess formation.,,,
no adenopathy,There is no evidence of lymphadenopathy.,,,
no appendicitis,A normal appendix is identified. There is no evidence of distention or periappendiceal inflammation to suggest appendicitis.,,,
no appendix,No appendix is specifically identified. There is no evidence of fluid collections or inflammatory stranding in the right lower quadrant.,,,
no chest,Impression: No acute cardiopulmonary disease.,,,
no common,There is no common bile duct dilation.,,,
No DVT,Impression: No evidence of deep venous thrombosis within the,,,
no extravasation,There is no evidence of active contrast extravasation.,,,
no face,Impression: No evidence of acute maxillofacial fracture.,,,
no fracture,Impression: No evidence of acute fracture or dislocation involving the,,,
no gestational,An intrauterine gestational sac is not identified.,,,
No Head,Impression: No acute intracranial hemorrhage or ischemic change.,,,
No hydro,No evidence of bilateral hydroureteronephrosis or obstructing renal or ureteral calculi.,,,
no intracranial,There is no evidence of intracranial hemorrhage.There is no evidence of acute ischemia.There is no evidence of intracranial extra-axial fluid collections.There is no mass-effect or midline shift.,,,
no jets,Ureteral jets are not identified.,,,
no left ovary,The left ovary is not visualized.,,,
